Unnamed: 0,goods_id,goods_name,goods_price,goods_store,goods_commit
3,100007062947,戴尔(DELL)成就5880英特尔酷睿i5商用办公台式机电脑整机(i5-10400F 8G 256G 1T 2G独显 三年上门)23.8英寸,4699.0,戴尔京东自营官方旗舰店,2.3万+条评价
4,100007655407,联想(Lenovo)天逸510Pro英特尔酷睿i7 台式机电脑整机(十代i7-10700 16G 2TB+256G SSD 2G独显)23英寸,6899.0,联想京东自营旗舰店,10万+条评价
5,20389465194,狄派酷睿i5-9400F六核/游戏独显/吃鸡台式电脑主机/电竞高配组装电脑游戏整机全套 电脑主机+显示器 套餐六【推荐】(九代i5+GTX1650 4G),4059.0,狄派电脑旗舰店,3.3万+条评价
6,1505283937,武极 十代i7 10700K/RTX 3070 8G/500G游戏台式吃鸡电脑主机DIY组装机,9188.0,武极电脑DIY旗舰店,1.5万+条评价
7,100014417246,联想(Lenovo)扬天M4000q英特尔酷睿i5 商用办公台式电脑整机(i5-10400 8G 1T 键鼠 串口 4年上门)23英寸,3999.0,联想扬天京东自营旗舰店,4400+条评价
8,100012816162,"京品电脑	
雷神(ThundeRobot)911黑武士三代 水冷游戏台式电脑主机(十代i7-10700 16G GTX1660Super 256+1T三年上门)",6299.0,雷神京东自营官方旗舰店,2.1万+条评价
9,100012920618,"京品电脑	
戴尔(DELL)成就3681商用办公高性能台式机电脑整机(十代i5-10400 8G 512GSSD 三年上门售后)23.8英寸",4299.0,戴尔京东自营官方旗舰店,15万+条评价
10,68703765708,英特尔酷睿i5/i7/八核/8G独显台式机电脑主机整机全套组装家用游戏电竞 主机+24英寸曲面显示器 配置三：i7升八核/1650独显/256+1T硬盘,3299.0,世纪之星电脑整机旗舰店,1.5万+条评价
11,100013099254,戴尔DELL成就5880英特尔酷睿i5商用办公台式机电脑整机(十代i5 16G 256GSSD 1T 2G独显 三年上门)23.8英寸,5299.0,戴尔京东自营官方旗舰店,2.3万+条评价
12,59565348724,酷耶 i7四核/GTX1080独显8G水冷吃鸡游戏台式机电脑主机组装整机 电脑主机 套餐一（16G/240G/GTX1070 8G),4099.0,酷耶电脑旗舰店,900+条评价
